"VarName","TimeString","VarValue","Validity","Time_ms"
"PIT-05","6/3/2019 8:21:46 AM",1.408782,1,43619348451.6319
"PIT-06","6/3/2019 8:21:46 AM",4.917173,1,43619348451.6319
"FIT-01","6/3/2019 8:21:51 AM",31.71875,1,43619348509.5255
"FIT-02","6/3/2019 8:21:51 AM",26.70821,1,43619348509.5255
"FIT-03","6/3/2019 8:21:51 AM",4.902628,1,43619348509.5255
"PIT-02","6/3/2019 8:21:51 AM",3.22989,1,43619348509.5255
"PIT-03","6/3/2019 8:21:51 AM",7.181351,1,43619348509.5255
"PIT-05","6/3/2019 8:21:51 AM",1.420718,1,43619348509.5255
"PIT-06","6/3/2019 8:21:51 AM",4.943396,1,43619348509.5255
"FIT-01","6/3/2019 8:21:56 AM",31.71875,1,43619348567.3958
"FIT-02","6/3/2019 8:21:56 AM",26.70821,1,43619348567.3958
"FIT-03","6/3/2019 8:21:56 AM",4.88732,1,43619348567.3958
"PIT-02","6/3/2019 8:21:56 AM",3.157914,1,43619348567.3958
"PIT-03","6/3/2019 8:21:56 AM",7.125289,1,43619348567.3958
"PIT-05","6/3/2019 8:21:56 AM",1.379847,1,43619348567.3958
"PIT-06","6/3/2019 8:21:56 AM",4.889142,1,43619348567.3958
"FIT-01","6/3/2019 8:22:01 AM",31.73032,1,43619348625.2662
"FIT-02","6/3/2019 8:22:01 AM",26.60361,1,43619348625.2662
"FIT-03","6/3/2019 8:22:01 AM",4.857644,1,43619348625.2662
"PIT-02","6/3/2019 8:22:01 AM",3.12934,1,43619348625.2662
"PIT-03","6/3/2019 8:22:01 AM",7.096354,1,43619348625.2662
"PIT-05","6/3/2019 8:22:01 AM",1.365017,1,43619348625.2662
"PIT-06","6/3/2019 8:22:01 AM",4.872866,1,43619348625.2662
"FIT-01","6/3/2019 8:22:06 AM",31.71875,1,43619348683.1366
"FIT-02","6/3/2019 8:22:06 AM",26.60361,1,43619348683.1366
"FIT-03","6/3/2019 8:22:06 AM",4.857644,1,43619348683.1366
"PIT-02","6/3/2019 8:22:06 AM",3.145616,1,43619348683.1366
"PIT-03","6/3/2019 8:22:06 AM",7.099067,1,43619348683.1366
"PIT-05","6/3/2019 8:22:06 AM",1.367549,1,43619348683.1366
"PIT-06","6/3/2019 8:22:06 AM",4.884621,1,43619348683.1366
"FIT-01","6/3/2019 8:22:11 AM",31.75926,1,43619348741.0185
"FIT-02","6/3/2019 8:22:11 AM",26.60361,1,43619348741.0185
"FIT-03","6/3/2019 8:22:11 AM",4.854369,1,43619348741.0185
"PIT-02","6/3/2019 8:22:11 AM",3.12934,1,43619348741.0185
"PIT-03","6/3/2019 8:22:11 AM",7.114439,1,43619348741.0185
"PIT-05","6/3/2019 8:22:11 AM",1.381655,1,43619348741.0185
"PIT-06","6/3/2019 8:22:11 AM",4.891855,1,43619348741.0185
"FIT-01","6/3/2019 8:22:16 AM",31.7419,1,43619348798.8889
"FIT-02","6/3/2019 8:22:16 AM",27.11048,1,43619348798.8889
"FIT-03","6/3/2019 8:22:16 AM",4.83871,1,43619348798.8889
"PIT-02","6/3/2019 8:22:16 AM",3.109447,1,43619348798.8889
"PIT-03","6/3/2019 8:22:16 AM",7.084599,1,43619348798.8889
"PIT-05","6/3/2019 8:22:16 AM",1.360677,1,43619348798.8889
